nox,tz=0,v=1.5
time,no,no2,nox
1681586700,1.930e-01,3.420e-01,5.350e-01
1681586760,2.010e-01,3.490e-01,5.500e-01
1681586820,2.300e-01,4.160e-01,6.470e-01
1681586880,2.590e-01,5.370e-01,7.960e-01
1681586940,2.600e-01,5.480e-01,8.080e-01
1681587000,2.690e-01,5.460e-01,8.150e-01
1681587060,2.550e-01,5.330e-01,7.880e-01
1681587120,2.460e-01,5.050e-01,7.500e-01
1681587180,2.410e-01,4.510e-01,6.920e-01
1681587240,2.410e-01,4.320e-01,6.720e-01
1681587300,2.080e-01,3.520e-01,5.600e-01
1681587360,2.070e-01,2.970e-01,5.030e-01
1681587420,2.280e-01,2.900e-01,5.180e-01
1681587480,2.270e-01,3.090e-01,5.360e-01
1681587540,2.290e-01,3.590e-01,5.890e-01
1681587600,2.350e-01,4.090e-01,6.440e-01
1681587660,2.380e-01,4.320e-01,6.700e-01
1681587720,2.280e-01,4.470e-01,6.750e-01
1681587780,2.130e-01,4.210e-01,6.340e-01
1681587840,1.880e-01,3.940e-01,5.820e-01
1681587900,1.610e-01,3.950e-01,5.560e-01
1681587960,1.700e-01,3.860e-01,5.560e-01
1681588020,1.640e-01,3.750e-01,5.390e-01
1681588080,1.480e-01,3.540e-01,5.020e-01
1681588140,1.440e-01,3.390e-01,4.830e-01
1681588200,1.390e-01,3.210e-01,4.600e-01
1681588260,1.420e-01,3.100e-01,4.520e-01
1681588320,1.530e-01,3.070e-01,4.600e-01
1681588380,1.530e-01,3.010e-01,4.540e-01
1681588440,1.450e-01,2.950e-01,4.400e-01
1681588500,1.560e-01,2.730e-01,4.290e-01
1681588560,1.640e-01,2.950e-01,4.590e-01
1681588620,1.680e-01,3.240e-01,4.920e-01
1681588680,1.730e-01,3.510e-01,5.240e-01
1681588740,1.630e-01,3.860e-01,5.490e-01
1681588800,1.680e-01,4.020e-01,5.700e-01
1681588860,1.790e-01,4.120e-01,5.910e-01
1681588920,1.790e-01,4.380e-01,6.180e-01
1681588980,1.740e-01,4.790e-01,6.530e-01
1681589040,1.770e-01,4.950e-01,6.720e-01
1681589100,1.730e-01,5.110e-01,6.840e-01
1681589160,1.780e-01,5.090e-01,6.870e-01
1681589220,1.830e-01,5.090e-01,6.930e-01
1681589280,1.830e-01,5.360e-01,7.190e-01
1681589340,2.410e-01,7.210e-01,9.620e-01
1681589400,2.440e-01,7.300e-01,9.740e-01
1681589460,2.390e-01,7.090e-01,9.480e-01
1681589520,2.390e-01,7.040e-01,9.430e-01
1681589580,2.410e-01,7.050e-01,9.450e-01
1681589640,2.370e-01,6.850e-01,9.220e-01
1681589700,2.360e-01,6.610e-01,8.970e-01
1681589760,2.230e-01,5.830e-01,8.060e-01
1681589820,1.750e-01,4.460e-01,6.210e-01
1681589880,2.060e-01,4.590e-01,6.650e-01
1681589940,2.170e-01,4.450e-01,6.630e-01
1681590000,2.130e-01,4.350e-01,6.470e-01
1681590060,2.070e-01,4.310e-01,6.380e-01
1681590120,2.100e-01,4.300e-01,6.400e-01
