rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1688169600,8.706e+00,8.501e+00,2.353e-01,2.298e-01
1688170200,1.439e+01,1.000e+00,3.890e-01,2.705e-02
1688170800,6.145e+00,1.000e+00,1.661e-01,2.705e-02
1688171400,2.821e+01,6.501e+00,7.625e-01,1.757e-01
1688172000,8.675e+00,6.001e+00,2.345e-01,1.622e-01
1688172600,1.515e+01,1.050e+01,4.096e-01,2.838e-01
1688173200,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688173800,1.525e+01,7.501e+00,4.121e-01,2.027e-01
1688174400,6.475e+00,1.100e+01,1.750e-01,2.973e-01
1688175000,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688175600,2.009e+00,2.000e+00,5.428e-02,2.705e-02
1688176200,1.527e+01,6.501e+00,4.128e-01,1.757e-01
1688176800,1.521e+01,1.000e+00,4.110e-01,2.705e-02
1688177400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688178000,1.088e+01,9.001e+00,2.940e-01,2.433e-01
1688178600,1.304e+01,1.000e+00,3.524e-01,2.705e-02
1688179200,1.310e+01,1.000e+00,3.541e-01,2.705e-02
1688179800,4.275e+00,8.501e+00,1.155e-01,2.298e-01
1688180400,4.209e+00,5.001e+00,1.138e-01,1.352e-01
1688181000,1.088e+01,1.000e+00,2.942e-01,2.705e-02
1688181600,1.081e+01,5.501e+00,2.923e-01,1.487e-01
1688182200,6.475e+00,5.501e+00,1.750e-01,1.487e-01
1688182800,1.300e+01,1.000e+00,3.512e-01,2.705e-02
1688183400,4.209e+00,3.000e+00,1.138e-01,8.109e-02
1688184000,4.275e+00,7.501e+00,1.155e-01,2.027e-01
1688184600,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688185200,1.537e+01,4.001e+00,4.154e-01,1.081e-01
1688185800,2.971e+01,4.501e+00,8.029e-01,1.216e-01
1688186400,1.991e+01,6.501e+00,5.382e-01,1.757e-01
1688187000,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688187600,8.609e+00,8.001e+00,2.327e-01,2.162e-01
1688188200,1.528e+01,1.000e+00,4.130e-01,2.705e-02
1688188800,6.409e+00,6.001e+00,1.732e-01,1.622e-01
1688189400,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688190000,1.503e+01,6.501e+00,4.063e-01,1.757e-01
1688190600,1.528e+01,9.001e+00,4.130e-01,2.433e-01
1688191200,1.742e+01,4.501e+00,4.709e-01,1.216e-01
1688191800,6.343e+00,1.200e+01,1.714e-01,3.244e-01
1688192400,6.398e+00,1.000e+00,1.729e-01,2.705e-02
1688193000,2.836e+01,1.000e+00,7.664e-01,2.705e-02
1688193600,1.515e+01,1.050e+01,4.095e-01,2.838e-01
1688194200,1.983e+01,1.000e+01,5.360e-01,2.703e-01
1688194800,1.073e+01,9.001e+00,2.899e-01,2.433e-01
1688195400,2.453e+01,1.000e+00,6.629e-01,2.705e-02
1688196000,1.296e+01,7.001e+00,3.503e-01,1.892e-01
1688196600,1.298e+01,1.150e+01,3.508e-01,3.109e-01
1688197200,1.987e+01,1.000e+00,5.371e-01,2.705e-02
1688197800,1.079e+01,1.100e+01,2.916e-01,2.973e-01
1688198400,1.756e+01,1.000e+00,4.747e-01,2.705e-02
1688199000,8.609e+00,9.001e+00,2.327e-01,2.433e-01
1688199600,1.307e+01,1.000e+00,3.531e-01,2.705e-02
1688200200,6.409e+00,1.050e+01,1.732e-01,2.838e-01
1688200800,1.757e+01,1.000e+00,4.750e-01,2.705e-02
1688201400,2.955e+01,1.000e+01,7.986e-01,2.703e-01
1688202000,2.205e+01,1.000e+00,5.959e-01,2.705e-02
1688202600,8.543e+00,1.000e+01,2.309e-01,2.703e-01
1688203200,1.079e+01,8.001e+00,2.917e-01,2.162e-01
1688203800,1.086e+01,1.000e+00,2.935e-01,2.705e-02
1688204400,1.067e+01,1.850e+01,2.883e-01,5.001e-01
1688205000,1.761e+01,3.000e+00,4.760e-01,8.109e-02
1688205600,1.757e+01,1.000e+00,4.750e-01,2.705e-02
1688206200,1.305e+01,8.501e+00,3.527e-01,2.298e-01
1688206800,1.509e+01,8.501e+00,4.079e-01,2.298e-01
1688207400,8.411e+00,1.000e+00,2.273e-01,2.705e-02
1688208000,8.463e+00,2.995e+00,2.287e-01,8.095e-02
1688208600,1.295e+01,1.200e+01,3.501e-01,3.244e-01
1688209200,1.990e+01,4.501e+00,5.377e-01,1.216e-01
1688209800,6.409e+00,4.501e+00,1.732e-01,1.216e-01
1688210400,1.080e+01,1.550e+01,2.920e-01,4.190e-01
1688211000,1.067e+01,6.501e+00,2.885e-01,1.757e-01
1688211600,4.011e+00,5.501e+00,1.084e-01,1.487e-01
1688212200,1.291e+01,1.000e+00,3.490e-01,2.705e-02
1688212800,1.740e+01,5.001e+00,4.703e-01,1.352e-01
